name,website,category,date,soruce
amf.france.org@mail.fr,amf.france.org@mail.fr,USURPATION AMF,01/09/23,amf
contact@selectys-gestion.com,contact@selectys-gestion.com,USURPATION,01/09/23,amf
prénom.nom@scor-gestionprivee.com,prénom.nom@scor-gestionprivee.com,USURPATION,01/09/23,amf
granimator.live,granimator.live,CRYPTO-ACTIFS,25/08/23,amf
granimator.me,granimator.me,CRYPTO-ACTIFS,25/08/23,amf
bitcoin360ai.com,bitcoin360ai.com,CRYPTO-ACTIFS,25/08/23,amf
augworldi.com/offers/0atdym0ocb/Granimator-fr-v2qq/,augworldi.com/offers/0atdym0ocb/Granimator-fr-v2qq/,CRYPTO-ACTIFS,25/08/23,amf
immediatebitcoin.io,immediatebitcoin.io,CRYPTO-ACTIFS,25/08/23,amf
www.futurbtc.com,www.futurbtc.com,PRODUITS DÉRIVÉS SUR CRYPTO-ACTIFS,23/08/23,amf
introtrade.pro,introtrade.pro,FOREX,23/08/23,amf
fusiontrade.co,fusiontrade.co,FOREX,23/08/23,amf
www.erzinex.com,www.erzinex.com,FOREX,23/08/23,amf
acapitalgroup.co,acapitalgroup.co,FOREX,23/08/23,amf
amoslimited.co,amoslimited.co,FOREX,23/08/23,amf
elvivainvest.com/fr,elvivainvest.com/fr,FOREX,23/08/23,amf
www.fortuna-invest.com,www.fortuna-invest.com,FOREX,23/08/23,amf
www.cityinv260.com,www.cityinv260.com,FOREX,23/08/23,amf
logiccryptofx.net,logiccryptofx.net,FOREX,23/08/23,amf
www.rn-investing.com,www.rn-investing.com,FOREX,23/08/23,amf
prénom.nom@dbflink.com,prénom.nom@dbflink.com,USURPATION,23/08/23,amf
support@Dbf-Link.com,support@Dbf-Link.com,USURPATION,23/08/23,amf
dbflink.com,dbflink.com,USURPATION,23/08/23,amf
contact@engie-es.com,contact@engie-es.com,USURPATION,23/08/23,amf
prénom.nom@clconseil-patrimoine.com,prénom.nom@clconseil-patrimoine.com,USURPATION,23/08/23,amf
prénom.nom@viel-compagnie.com,prénom.nom@viel-compagnie.com,USURPATION,04/08/23,amf
immediateconnect.org,immediateconnect.org,CRYPTO-ACTIFS,04/08/23,amf
immediateconnect.me,immediateconnect.me,CRYPTO-ACTIFS,04/08/23,amf
immediate-connect.com,immediate-connect.com,CRYPTO-ACTIFS,04/08/23,amf
julinfob.com/offers/0atdym0ocb/Granimator-fr-v2qq,julinfob.com/offers/0atdym0ocb/Granimator-fr-v2qq,CRYPTO-ACTIFS,04/08/23,amf
easycrypto4u.com,easycrypto4u.com,CRYPTO-ACTIFS,04/08/23,amf
immediateconnect.com,immediateconnect.com,CRYPTO-ACTIFS,04/08/23,amf
immediategranimator.com,immediategranimator.com,CRYPTO-ACTIFS,04/08/23,amf
immediategranimator.org,immediategranimator.org,CRYPTO-ACTIFS,04/08/23,amf
immediategranimator.io,immediategranimator.io,CRYPTO-ACTIFS,04/08/23,amf
ewgholding.com/fr,ewgholding.com/fr,BIENS DIVERS / VIN,02/08/23,amf
omersfinance.ltd,omersfinance.ltd,FOREX,02/08/23,amf
edgefinance.ltd,edgefinance.ltd,FOREX,02/08/23,amf
prénom.nom@groupe-valmer.com,prénom.nom@groupe-valmer.com,USURPATION,02/08/23,amf
prénom.nom@patrimoine-natixis.com,prénom.nom@patrimoine-natixis.com,USURPATION,02/08/23,amf
scpi-2023.com,scpi-2023.com,USURPATION,02/08/23,amf
prénom.nom@1854cat.com,prénom.nom@1854cat.com,USURPATION,02/08/23,amf
prénom.nom@mosaicfinance-client.fr,prénom.nom@mosaicfinance-client.fr,USURPATION,02/08/23,amf
prénom.nom@parel-sa.fr,prénom.nom@parel-sa.fr,USURPATION,02/08/23,amf
paymluminc.com,paymluminc.com,USURPATION,02/08/23,amf
prénom.nom@hellob.fr,prénom.nom@hellob.fr,USURPATION,02/08/23,amf
groupe-valmer.com,groupe-valmer.com,USURPATION,02/08/23,amf
a-investmentmanagers.com,a-investmentmanagers.com,USURPATION,13/07/23,amf
prénom.nom@am-ofi.com,prénom.nom@am-ofi.com,USURPATION,13/07/23,amf
aema.espace-gestionprivee.net,aema.espace-gestionprivee.net,USURPATION,13/07/23,amf
www.expochains.com,www.expochains.com,FOREX,13/07/23,amf
acy.com,acy.com,FOREX,13/07/23,amf
www.cryptotradetech.net,www.cryptotradetech.net,FOREX,13/07/23,amf
microngroup.ltd/fr,microngroup.ltd/fr,FOREX,13/07/23,amf
nouvelle-epargne-livret.com,nouvelle-epargne-livret.com,USURPATION,13/07/23,amf
www.fxalta.com,www.fxalta.com,FOREX,13/07/23,amf
ipgate.trade,ipgate.trade,FOREX,13/07/23,amf
prénom.nom@hellobfr.com,prénom.nom@hellobfr.com,USURPATION,06/07/23,amf
prénom.nom@immo-evolutif.com,prénom.nom@immo-evolutif.com,USURPATION,06/07/23,amf
prénom.nom@gestion-natixis.com,prénom.nom@gestion-natixis.com,USURPATION,06/07/23,amf
admin@gestion-natixis.com,admin@gestion-natixis.com,USURPATION,06/07/23,amf
the-immediateconnect.com,the-immediateconnect.com,CRYPTO-ACTIFS,06/07/23,amf
immediateconnect.ai,immediateconnect.ai,CRYPTO-ACTIFS,06/07/23,amf
immediateconnect.co,immediateconnect.co,CRYPTO-ACTIFS,06/07/23,amf
prénom.nom@nibc-nv.com,prénom.nom@nibc-nv.com,USURPATION,29/06/23,amf
contact@nibc-app.com,contact@nibc-app.com,USURPATION,29/06/23,amf
prénom.nom@a-capitalgroup.com,prénom.nom@a-capitalgroup.com,USURPATION,29/06/23,amf
contact@citadelfrance.fr,contact@citadelfrance.fr,USURPATION,29/06/23,amf
meshgroup.fr,meshgroup.fr,FINANCEMENT PARTICIPATIF,22/06/23,amf
contact@propulsebyca-gestion.eu,contact@propulsebyca-gestion.eu,USURPATION,22/06/23,amf
propulsebyca@prénomnom.com,propulsebyca@prénomnom.com,USURPATION,22/06/23,amf
prénom.nom@gestion-republic.com,prénom.nom@gestion-republic.com,USURPATION,22/06/23,amf
prénom.nom@kc10-immobilier.com,prénom.nom@kc10-immobilier.com,USURPATION,22/06/23,amf
prénom.nom@amundietf.info,prénom.nom@amundietf.info,USURPATION,22/06/23,amf
prénom.nom@gestionprivee-eres.com,prénom.nom@gestionprivee-eres.com,USURPATION,08/06/23,amf
finance@gestionprivee-eres.com,finance@gestionprivee-eres.com,USURPATION,08/06/23,amf
engiesolutions@greenchannel.info,engiesolutions@greenchannel.info,USURPATION,08/06/23,amf
espaceprojet-acces.com,espaceprojet-acces.com,USURPATION,08/06/23,amf
prénom.nom@drouot-patrimoine.com,prénom.nom@drouot-patrimoine.com,USURPATION,08/06/23,amf
sec-private.com,sec-private.com,USURPATION,07/06/23,amf
prénom.nom@dolphinvest-consulting.com,prénom.nom@dolphinvest-consulting.com,USURPATION,07/06/23,amf
dolphinvest.eu,dolphinvest.eu,USURPATION,07/06/23,amf
info@acquis-exchange.fr,info@acquis-exchange.fr,USURPATION,07/06/23,amf
contact@eph-investment.com,contact@eph-investment.com,USURPATION,07/06/23,amf
prénom.nom@eph-investment.com,prénom.nom@eph-investment.com,USURPATION,07/06/23,amf
eph-investment.com,eph-investment.com,USURPATION,07/06/23,amf
www.mon-acces-personnel.com,www.mon-acces-personnel.com,USURPATION,01/06/23,amf
prénom.nom@quilvesteurope.com,prénom.nom@quilvesteurope.com,USURPATION,01/06/23,amf
prénom.nom@ico-assets.net,prénom.nom@ico-assets.net,USURPATION,01/06/23,amf
support@ico-assets.net,support@ico-assets.net,USURPATION,01/06/23,amf
www.ico-assets.com,www.ico-assets.com,USURPATION,01/06/23,amf
contact@groupe-goirand.com,contact@groupe-goirand.com,USURPATION,01/06/23,amf
prénom.nom@groupe-goirand.com,prénom.nom@groupe-goirand.com,USURPATION,01/06/23,amf
groupe-goirand.com,groupe-goirand.com,USURPATION,01/06/23,amf
prénom.nom@scor-gestion.com,prénom.nom@scor-gestion.com,USURPATION,01/06/23,amf
paymiumep.com,paymiumep.com,USURPATION,01/06/23,amf
prénom.nom@eres-gestion.net,prénom.nom@eres-gestion.net,USURPATION,26/05/23,amf
finances@gestion-eres.net,finances@gestion-eres.net,USURPATION,26/05/23,amf
prénom.nom@vauban-cif.com,prénom.nom@vauban-cif.com,USURPATION,26/05/23,amf
prénom.nom@111capmail.com,prénom.nom@111capmail.com,USURPATION,17/05/23,amf
contact@jbdh-france.com,contact@jbdh-france.com,USURPATION,17/05/23,amf
prénom.nom@gestion-eres.com,prénom.nom@gestion-eres.com,USURPATION,17/05/23,amf
algo-robot.co,algo-robot.co,FOREX,17/05/23,amf
heritage-bv.com,heritage-bv.com,CRYPTO-ACTIFS,17/05/23,amf
www.cleo-capital.com,www.cleo-capital.com,AUTRE ACTEUR NON AUTORISÉ,17/05/23,amf
contact@rueil-convergence.com,contact@rueil-convergence.com,USURPATION,12/05/23,amf
service.financier@rueil-convergence.com,service.financier@rueil-convergence.com,USURPATION,12/05/23,amf
prénom.nom@online-vbk.com,prénom.nom@online-vbk.com,USURPATION,09/05/23,amf
www.financierecalixa.com,www.financierecalixa.com,BIENS DIVERS / VIN,09/05/23,amf
action-sure.com,action-sure.com,FOREX,09/05/23,amf
mainetfrance.com,mainetfrance.com,FOREX,09/05/23,amf
xmarket-finance.com,xmarket-finance.com,FOREX,09/05/23,amf
www.polarbtc.com,www.polarbtc.com,FOREX,09/05/23,amf
prénom.nom@vbk-inv.com,prénom.nom@vbk-inv.com,USURPATION,02/05/23,amf
patrimoine-invests.com,patrimoine-invests.com,AUTRE ACTEUR NON AUTORISÉ,02/05/23,amf
prénom.nom@cspartners-gestion.com,prénom.nom@cspartners-gestion.com,USURPATION,02/05/23,amf
prénom.nom@malingaxabelgium.com,prénom.nom@malingaxabelgium.com,USURPATION,02/05/23,amf
prénom.nom@louvois-placement.fr,prénom.nom@louvois-placement.fr,USURPATION,02/05/23,amf
prénom.nom@contact-tressis.com,prénom.nom@contact-tressis.com,USURPATION,02/05/23,amf
morganfinance.trade,morganfinance.trade,FOREX,24/04/23,amf
www.autofxbroker.com,www.autofxbroker.com,FOREX,24/04/23,amf
prénom.nom.fonciere.iris@gmail.com,prénom.nom.fonciere.iris@gmail.com,USURPATION,20/04/23,amf
infos@contact-kcpartners.com,infos@contact-kcpartners.com,USURPATION,20/04/23,amf
viel-private-banking@euro-next-services.com,viel-private-banking@euro-next-services.com,USURPATION,20/04/23,amf
service-administratif@hgam-gestion.com,service-administratif@hgam-gestion.com,USURPATION,20/04/23,amf
mainet.business,mainet.business,FOREX,14/04/23,amf
fxwinning.pro,fxwinning.pro,FOREX,14/04/23,amf
weareturbo.io,weareturbo.io,FOREX,14/04/23,amf
fxwinning.net,fxwinning.net,FOREX,14/04/23,amf
prénom.nom@bouygues-centralephotovoltaique.com,prénom.nom@bouygues-centralephotovoltaique.com,USURPATION,13/04/23,amf
prénom.nom@france-globalmarkets.com,prénom.nom@france-globalmarkets.com,USURPATION,13/04/23,amf
prénom.nom@lys-champselysees.fr,prénom.nom@lys-champselysees.fr,USURPATION,13/04/23,amf
support@NYLSINV.com,support@NYLSINV.com,USURPATION,13/04/23,amf
nylsinv.com,nylsinv.com,USURPATION,13/04/23,amf
xmonetatrading.com,xmonetatrading.com,FOREX,05/04/23,amf
rxkcapital.com,rxkcapital.com,FOREX,05/04/23,amf
eu.vtmarkets.com,eu.vtmarkets.com,FOREX,05/04/23,amf
prénom.nom@surholympiades-invest.com,prénom.nom@surholympiades-invest.com,AUTRE ACTEUR NON AUTORISÉ,05/04/23,amf
ftmtrade.co,ftmtrade.co,CRYPTO-ACTIFS,05/04/23,amf
prénom.nom@neuebankag.management,prénom.nom@neuebankag.management,USURPATION,04/04/23,amf
prénom.nom@airliquide-finance.com,prénom.nom@airliquide-finance.com,USURPATION,04/04/23,amf
servicegestion.lbpam@protonmail.com,servicegestion.lbpam@protonmail.com,USURPATION,04/04/23,amf
contact@LBPACTIONSMONDE.com,contact@LBPACTIONSMONDE.com,USURPATION,04/04/23,amf
prénom.nom@abn-solution.com,prénom.nom@abn-solution.com,USURPATION,04/04/23,amf
prénom.nom@compte-premium.fr,prénom.nom@compte-premium.fr,USURPATION,04/04/23,amf
prénom.nom@bng-gestion.com,prénom.nom@bng-gestion.com,USURPATION,04/04/23,amf
info@mieuxchezmoi.com,info@mieuxchezmoi.com,USURPATION,04/04/23,amf
prénom.nom@engiesolar-es.com,prénom.nom@engiesolar-es.com,USURPATION,04/04/23,amf
prénom.nom@trdrepublic-app.com,prénom.nom@trdrepublic-app.com,USURPATION,04/04/23,amf
app.trdrepublic-connect.com,app.trdrepublic-connect.com,USURPATION,04/04/23,amf
prénom.nom@projetgreenenergie.com,prénom.nom@projetgreenenergie.com,USURPATION,27/03/23,amf
prénom.nom@egm-asset.com,prénom.nom@egm-asset.com,USURPATION,27/03/23,amf
prénom.nom@epf-gestion.com,prénom.nom@epf-gestion.com,USURPATION,27/03/23,amf
prénom.nom@evolution-gbl.com,prénom.nom@evolution-gbl.com,USURPATION,27/03/23,amf
prénom.nom@globalmarkets.fr,prénom.nom@globalmarkets.fr,USURPATION,27/03/23,amf
prénom.nom@covea-patrimoine.com,prénom.nom@covea-patrimoine.com,USURPATION,27/03/23,amf
contact@imv-gestion.com,contact@imv-gestion.com,USURPATION,07/03/23,amf
prénom.nom@gestion-imv.com,prénom.nom@gestion-imv.com,USURPATION,07/03/23,amf
arcanogroupe.com,arcanogroupe.com,USURPATION,07/03/23,amf
prénom.nom@arcanogroupe.com,prénom.nom@arcanogroupe.com,USURPATION,07/03/23,amf
espacegestion-imv.com,espacegestion-imv.com,USURPATION,07/03/23,amf
gninvestag.com,gninvestag.com,USURPATION,07/03/23,amf
fonds-investissement-arquant.com,fonds-investissement-arquant.com,USURPATION,07/03/23,amf
acces.traderepublic-private.com,acces.traderepublic-private.com,USURPATION,02/03/23,amf
prénom.nom@peugeot-gestion.com,prénom.nom@peugeot-gestion.com,USURPATION,02/03/23,amf
prénom.nom@lepargne-corum.fr,prénom.nom@lepargne-corum.fr,USURPATION,14/02/23,amf
secure-signature@corum-asset-management.com,secure-signature@corum-asset-management.com,USURPATION,14/02/23,amf
info@orsted-energie.com,info@orsted-energie.com,USURPATION,14/02/23,amf
prénom.nom@orsted-energie.com,prénom.nom@orsted-energie.com,USURPATION,14/02/23,amf
prénom.nom@rueil-convergence.com,prénom.nom@rueil-convergence.com,USURPATION,14/02/23,amf
deutschebank@db-private-personal-service.com,deutschebank@db-private-personal-service.com,USURPATION,14/02/23,amf
prénom.nom@corum-scpi.fr,prénom.nom@corum-scpi.fr,USURPATION,14/02/23,amf
secure-signature@corum-assetmanagement.com,secure-signature@corum-assetmanagement.com,USURPATION,14/02/23,amf
prénom.nom@corum-epargne.net,prénom.nom@corum-epargne.net,USURPATION,14/02/23,amf
souscription-signature@corum-assets-management.com,souscription-signature@corum-assets-management.com,USURPATION,14/02/23,amf
prénom.nom@corum-vie.fr,prénom.nom@corum-vie.fr,USURPATION,14/02/23,amf
prénom.nom@epargne-corum.fr,prénom.nom@epargne-corum.fr,USURPATION,14/02/23,amf
contact@corum-lepargne.eu,contact@corum-lepargne.eu,USURPATION,14/02/23,amf
prénom.nom@lepargne-corum-am.com,prénom.nom@lepargne-corum-am.com,USURPATION,14/02/23,amf
prénom-nom@corum-lepargne.eu,prénom-nom@corum-lepargne.eu,USURPATION,14/02/23,amf
souscription-signature@corum-asset-management.com,souscription-signature@corum-asset-management.com,USURPATION,14/02/23,amf
contact@corum-asset-management.com,contact@corum-asset-management.com,USURPATION,14/02/23,amf
investors@sustainableaxa.com,investors@sustainableaxa.com,USURPATION,07/02/23,amf
service.administratif@kaufmanbroad-immo.com,service.administratif@kaufmanbroad-immo.com,USURPATION,07/02/23,amf
partage-secfr.com,partage-secfr.com,USURPATION,07/02/23,amf
contact@kaufmanbroadilip.com,contact@kaufmanbroadilip.com,USURPATION,07/02/23,amf
gestion-kcpartners.com,gestion-kcpartners.com,USURPATION,31/01/23,amf
prénom.nom@gestion-kcpartners.com,prénom.nom@gestion-kcpartners.com,USURPATION,31/01/23,amf
support@keycap-partners.com,support@keycap-partners.com,USURPATION,31/01/23,amf
fr.ozalentour.com,fr.ozalentour.com,CRYPTO-ACTIFS,31/01/23,amf
administratif@amundigroup.com,administratif@amundigroup.com,USURPATION,31/01/23,amf
prénom.nom@amundigroup.com,prénom.nom@amundigroup.com,USURPATION,31/01/23,amf
prénom.nom@ab-investment.net,prénom.nom@ab-investment.net,USURPATION,31/01/23,amf
prénom.nom@saint-dominique-invest.com,prénom.nom@saint-dominique-invest.com,USURPATION,31/01/23,amf
contact@kaufmanbroad-immo.com,contact@kaufmanbroad-immo.com,USURPATION,25/01/23,amf
prénom.nom@bouyguesenergies-services.com,prénom.nom@bouyguesenergies-services.com,USURPATION,25/01/23,amf
prénom.nom@barcl.eu,prénom.nom@barcl.eu,USURPATION,13/01/23,amf
prénom.nom@patrimoine-groupama.com,prénom.nom@patrimoine-groupama.com,USURPATION,13/01/23,amf
prénom.nom@groupama-assetmanagement.com,prénom.nom@groupama-assetmanagement.com,USURPATION,13/01/23,amf
prénom.nom@groupama-asset-management.com,prénom.nom@groupama-asset-management.com,USURPATION,13/01/23,amf
prénom.nom@arvellainvestments.com,prénom.nom@arvellainvestments.com,USURPATION,13/01/23,amf
prénom.nom@groupamapatrimoine.com,prénom.nom@groupamapatrimoine.com,USURPATION,13/01/23,amf
prénom.nom@groupama-patrimoine.com,prénom.nom@groupama-patrimoine.com,USURPATION,13/01/23,amf
prénom.nom@totalfinancements.com,prénom.nom@totalfinancements.com,USURPATION,11/01/23,amf
hightrustcapital.com,hightrustcapital.com,FOREX,11/01/23,amf
stbmarkets.com,stbmarkets.com,FOREX,11/01/23,amf
superether.io,superether.io,FOREX,11/01/23,amf
spotyfx.com,spotyfx.com,FOREX,11/01/23,amf
green-capitalz.com,green-capitalz.com,FOREX,11/01/23,amf
ipgatetrade.pro,ipgatetrade.pro,FOREX,11/01/23,amf
cint.pro,cint.pro,FOREX,11/01/23,amf
cintra.group,cintra.group,FOREX,11/01/23,amf
barclays@banking-services-private.com,barclays@banking-services-private.com,USURPATION,23/12/22,amf
otto-fr.com,otto-fr.com,USURPATION,23/12/22,amf
barclays@service-clients-digital.com,barclays@service-clients-digital.com,USURPATION,23/12/22,amf
prénom.nom@otto-holding.com,prénom.nom@otto-holding.com,USURPATION,23/12/22,amf
greatinvest.net/fr,greatinvest.net/fr,FOREX,23/12/22,amf
geneticrypto.com,geneticrypto.com,FOREX,23/12/22,amf
produit-structure.com,produit-structure.com,AUTRE ACTEUR NON AUTORISÉ,22/12/22,amf
bcicholding.com,bcicholding.com,BIENS DIVERS / VIN,16/12/22,amf
bdkmanagement.com,bdkmanagement.com,USURPATION,16/12/22,amf
aton-invest.com,aton-invest.com,AUTRE ACTEUR NON AUTORISÉ,07/12/22,amf
prénom.nom@degirofrplus.com,prénom.nom@degirofrplus.com,USURPATION,06/12/22,amf
prénom.nom@holdingcef.com,prénom.nom@holdingcef.com,USURPATION,06/12/22,amf
contact@holdingcef.com,contact@holdingcef.com,USURPATION,06/12/22,amf
prénom.nom@groupe-viel.com,prénom.nom@groupe-viel.com,USURPATION,06/12/22,amf
prénom.nom@online-degiro-fr.com,prénom.nom@online-degiro-fr.com,USURPATION,06/12/22,amf
acerfinance.co/fr,acerfinance.co/fr,USURPATION,06/12/22,amf
market.directfrdegiro.com,market.directfrdegiro.com,USURPATION,06/12/22,amf
prénom.nom.amf@dr.com,prénom.nom.amf@dr.com,USURPATION AMF,30/11/22,amf
prénomnom.amf@dr.com,prénomnom.amf@dr.com,USURPATION AMF,30/11/22,amf
service.juridique@amffrance.com,service.juridique@amffrance.com,USURPATION AMF,29/11/22,amf
persocpt.com,persocpt.com,USURPATION,29/11/22,amf
www.silveriz.fr,www.silveriz.fr,PRODUITS DÉRIVÉS SUR CRYPTO-ACTIFS,29/11/22,amf
service-financier@veoliaenergies.fr,service-financier@veoliaenergies.fr,USURPATION,22/11/22,amf
www.mon-placement-facile.fr,www.mon-placement-facile.fr,USURPATION,22/11/22,amf
info@ibs-asset.com,info@ibs-asset.com,USURPATION,22/11/22,amf
prénom.nom@dorvalam.com,prénom.nom@dorvalam.com,USURPATION,17/11/22,amf
prénom.nom@dorval-asset.com,prénom.nom@dorval-asset.com,USURPATION,17/11/22,amf
contact@arquantcapital.com,contact@arquantcapital.com,USURPATION,17/11/22,amf
amf-service-client.fr,amf-service-client.fr,USURPATION AMF,10/11/22,amf
amffrance.fr,amffrance.fr,USURPATION AMF,10/11/22,amf
amffrance.com,amffrance.com,USURPATION AMF,10/11/22,amf
conseil.fonds-investissement-arquant.com,conseil.fonds-investissement-arquant.com,USURPATION,10/11/22,amf
arquantcapital67@gmail.com,arquantcapital67@gmail.com,USURPATION,10/11/22,amf
contact@arqantcapitale.com,contact@arqantcapitale.com,USURPATION,10/11/22,amf
prénom.nom@3investments.fr,prénom.nom@3investments.fr,USURPATION,10/11/22,amf
service.clients@blx-gestion.com,service.clients@blx-gestion.com,USURPATION,10/11/22,amf
info@am-france.org,info@am-france.org,USURPATION AMF,10/11/22,amf
fixedfloat.com,fixedfloat.com,CRYPTO-ACTIFS,04/11/22,amf
web-trade.website,web-trade.website,CRYPTO-ACTIFS,04/11/22,amf
fr.finaguide.com,fr.finaguide.com,FOREX,04/11/22,amf
infos.services@contangootrading.net,infos.services@contangootrading.net,USURPATION,04/11/22,amf
raisefx.com,raisefx.com,FOREX,04/11/22,amf
gestion-privee-planete.com,gestion-privee-planete.com,USURPATION,24/10/22,amf
alterinvest.fr,alterinvest.fr,USURPATION,24/10/22,amf
www.multibankfx.com,www.multibankfx.com,FOREX,24/10/22,amf
via-france-amf.fr,via-france-amf.fr,USURPATION AMF,19/10/22,amf
service.administratif@dws-group.fr,service.administratif@dws-group.fr,USURPATION,19/10/22,amf
prénom.nom@dws-info.com,prénom.nom@dws-info.com,USURPATION,19/10/22,amf
prénom.nom@fonciere-iris.com,prénom.nom@fonciere-iris.com,USURPATION,19/10/22,amf
prénom.nom@tevgo.net,prénom.nom@tevgo.net,USURPATION,19/10/22,amf
korian-finance@mail.com,korian-finance@mail.com,USURPATION,19/10/22,amf
www.1market.com/fr,www.1market.com/fr,FOREX,19/10/22,amf
boursecapital.net,boursecapital.net,FOREX,19/10/22,amf
bitictrade.com,bitictrade.com,FOREX,19/10/22,amf
prénom.nom@totalenergies-serviceclient.fr,prénom.nom@totalenergies-serviceclient.fr,USURPATION,17/10/22,amf
prénom.nom@totalprocuremanagement.com,prénom.nom@totalprocuremanagement.com,USURPATION,17/10/22,amf
fr.puprime.net,fr.puprime.net,FOREX,17/10/22,amf
www.t4trade.com,www.t4trade.com,FOREX,17/10/22,amf
www.cryptoneyx.io,www.cryptoneyx.io,FOREX,17/10/22,amf
www.24cryptoforextrading.net,www.24cryptoforextrading.net,FOREX,17/10/22,amf
virtuscapital.world,virtuscapital.world,FOREX,17/10/22,amf
www.vestapros.com,www.vestapros.com,FOREX,17/10/22,amf
e2xr.io/fr,e2xr.io/fr,CRYPTO-ACTIFS,13/10/22,amf
www.eliostrategy.com,www.eliostrategy.com,BIENS DIVERS / TERRES RARES,13/10/22,amf
www.massardinvestissement.com,www.massardinvestissement.com,BIENS DIVERS / VIN,13/10/22,amf
prénom.nom@totalprocuring.com,prénom.nom@totalprocuring.com,USURPATION,10/10/22,amf
prénom.nom@total-solar.fr,prénom.nom@total-solar.fr,USURPATION,10/10/22,amf
ab.container@aol.com,ab.container@aol.com,USURPATION,07/10/22,amf
www.lagestiondor.com,www.lagestiondor.com,USURPATION,07/10/22,amf
boetiecontainer@e-nautia.com,boetiecontainer@e-nautia.com,USURPATION,07/10/22,amf
prénom.nom@totalprocurementservices.com,prénom.nom@totalprocurementservices.com,USURPATION,07/10/22,amf
traderhouse.com,traderhouse.com,FOREX,07/10/22,amf
lions-broker.com,lions-broker.com,FOREX,07/10/22,amf
www.lembrege-capital.com,www.lembrege-capital.com,BIENS DIVERS / OR,07/10/22,amf
contact@fuchsgroup-paris.com,contact@fuchsgroup-paris.com,USURPATION,07/10/22,amf
placementsgarantis.fr,placementsgarantis.fr,FINANCEMENT PARTICIPATIF,07/10/22,amf
prénom.nom@consultant.com,prénom.nom@consultant.com,USURPATION,07/10/22,amf
prénom.nom@fuchsgroup-paris.com,prénom.nom@fuchsgroup-paris.com,USURPATION,07/10/22,amf
www.patrimonial-diversification.com,www.patrimonial-diversification.com,AUTRE ACTEUR NON AUTORISÉ,07/10/22,amf
prénom.nom@archelondeutschland.com,prénom.nom@archelondeutschland.com,USURPATION,07/10/22,amf
prénom.nom@totalenergiesrenouvelables.fr,prénom.nom@totalenergiesrenouvelables.fr,USURPATION,30/09/22,amf
prénom.nom@arvellainvestments.fr,prénom.nom@arvellainvestments.fr,USURPATION,29/09/22,amf
prénom.nom@ts-energies-france.fr,prénom.nom@ts-energies-france.fr,USURPATION,29/09/22,amf
prénom.nom@edr-privateequity.com,prénom.nom@edr-privateequity.com,USURPATION,28/09/22,amf
