name,website,category,date,source
www.2288zj.com,www.2288zj.com,Suspicious websites,2015-12-07,sfc
www.hkblackstone.com,www.hkblackstone.com,Suspicious websites,2015-12-07,sfc
www.521601.com,www.521601.com,Suspicious websites,2015-12-07,sfc
www.655768.com,www.655768.com,Suspicious websites,2015-12-07,sfc
www.chinabx.com,www.chinabx.com,Suspicious websites,2015-12-07,sfc
www.hkyoula.com,www.hkyoula.com,Suspicious websites,2015-12-07,sfc
津元國際 (Chinese name only),www.987775.com,Suspicious websites,2015-12-07,sfc
Thomas & Lynch Inc,www.mythomasandlynchinc.wordpress.com; www.mythomasandlynchinc.com/,Unlicensed entities,2015-12-09,sfc
www.604369.com,www.604369.com,Suspicious websites,2015-12-07,sfc
www.hsjt95.com,www.hsjt95.com,Suspicious websites,2015-12-07,sfc
www.hongliziben.com,www.hongliziben.com,Suspicious websites,2015-12-14,sfc
www.130506.com,www.130506.com,Suspicious websites,2015-12-07,sfc
Kowloon Global Wealth Management,www.kowloongwm.com,Unlicensed entities,2015-12-08,sfc
Smart Investment Group,www.smartinvestmentgroup.com,Unlicensed entities,2015-12-14,sfc
Rockwell Escrow Services,www.rwellhk.com,,2015-12-09,sfc
Hong Kong Goldman Sachs Financial Investment Ltd,http://gsjr222.com,Unlicensed entities,2015-12-21,sfc
Stonebridge Securities,www.stonebridgesec.com,Unlicensed entities,2015-12-21,sfc
www.m9m3.com,www.m9m3.com,Suspicious websites,2015-12-07,sfc
Belmont Financial Group,www.belmontfinancialgroup.com,Unlicensed entities,2015-12-22,sfc
富兰克林邓普顿财富基金管理公司 (in simplified Chinese characters only),www.a280021.com,Suspicious websites,2016-01-04,sfc
Oak Capital,--,Unlicensed entities,2016-01-05,sfc
Elan Financial Group Limited,www.yilongjinrong.com,Unlicensed entities,2015-12-16,sfc
宏利資本,--,Unlicensed entities,2016-01-05,sfc
Wallis Partridge,www.wallispartridge.com,Unlicensed entities,2016-01-06,sfc
QMI Financial,www.qmifinancial.com,Unlicensed entities,2016-01-15,sfc
Hans Bernauer,www.hansbernauer.com,Unlicensed entities,2016-01-15,sfc
USA Hight Flourishing Group (Hong Kong) Fund Management Investment Limited,-,Unlicensed entities,2016-01-22,sfc
HK Kova Capital Management Limited,-,Unlicensed entities,2016-01-22,sfc
Klarman Securities,www.klarman-securites.com,Unlicensed entities,2016-01-26,sfc
豐業金融,www.fy6636.com,Unlicensed entities,2016-01-05,sfc
Champion Token Limited,i) www.ctlpe.com,Unlicensed entities,2016-01-28,sfc
MLI Limited,www.mli-hk.com,Unlicensed entities,2016-01-28,sfc
Smart Trading Signals LLC,www.smarttradingsignals.com,Unlicensed entities,2015-12-14,sfc
USA High Flourishing Group Fund Management Investment Limited,www.usahighflourishing.com,Unlicensed entities,2016-01-22,sfc
Blackrock Financial Co Ltd,www.815048.com,Unlicensed entities,2016-01-28,sfc
Champion Trust Fund,(i) www.ctfhk.com,Unlicensed entities,2016-01-28,sfc
Witter Financial Group,www.witter-financial.com,Unlicensed entities,2016-01-28,sfc
Global Sun Solutions,www.globalsunsolutions.com,Unlicensed entities,2015-12-10,sfc
A.I.M. Corporation Limited,www.aimcl.com,Unlicensed entities,2015-12-23,sfc
vip.cnrqet.com,vip.cnrqet.com,Suspicious websites,2016-02-02,sfc
香港東融金融集團有限公司 (Chinese name only),www.dr6888.com,Unlicensed entities,2016-02-05,sfc
Manniworth Co Ltd,www.manniworth.com,Unlicensed entities,2016-02-11,sfc
Hong Kong Foreign Investments Trade Authority,http://hkfita.org,Fake regulators and/or market operators,2016-02-11,sfc
Blackstone Financial Investment Co Ltd,www.388hr.com,Unlicensed entities,2016-02-16,sfc
Hongkong Fengye International Financial Investment Co Ltd,www.fy6636.com,Unlicensed entities,2016-02-16,sfc
www.093944.com,www.093944.com,Suspicious websites,2016-02-17,sfc
www.508018.com,www.508018.com,Suspicious websites,2016-02-17,sfc
www.920431.com,www.920431.com,Unlicensed entities,2016-02-17,sfc
www.blackrock-glmac.com,www.blackrock-glmac.com,Suspicious websites,2016-02-17,sfc
www.cvc1122.com,www.cvc1122.com,Suspicious websites,2016-02-17,sfc
www.cvc5566.com,www.cvc5566.com,Suspicious websites,2016-02-17,sfc
www.huigezs.com,www.huigezs.com,Suspicious websites,2016-02-17,sfc
www.sczhongliu.com,www.sczhongliu.com,Suspicious websites,2016-02-17,sfc
Norton Global Asset Management,www.nortongam.com,Unlicensed entities,2016-02-18,sfc
www.cvchongya.com,www.cvchongya.com,Suspicious websites,2016-02-29,sfc
Qian Zhi Gu Financial / De Bell Investment Limited / Beier Financial Investment Limited,www.qianzhigu.com,Unlicensed entities,2016-02-02,sfc
www.blackrockltccn.com,www.blackrockltccn.com,Suspicious websites,2016-03-03,sfc
www.vipblackrockltccn.com,www.vipblackrockltccn.com,Suspicious websites,2016-03-03,sfc
Hasegawa Financial Holdings,www.hasegawa-financial-holdings.com,Unlicensed entities,2016-03-03,sfc
Galaad Capital Group,www.galaadcapitalgroup.com,Unlicensed entities,2016-03-04,sfc
chinablackrock.com,chinablackrock.com,Suspicious websites,2016-03-04,sfc
Tyson Asset Management Inc.,www.tysonasset.com,Unlicensed entities,2016-03-09,sfc
Voth Nixon Group,www.vnxgroup.com,Unlicensed entities,2016-03-10,sfc
Admiral Global Private Equity Group,www.admiralglobal.com,Unlicensed entities,2016-03-17,sfc
Forbes Private Capital Group (HK),www.fpcghk.com,Unlicensed entities,2016-03-23,sfc
Granada Capital,www.granadacapital.com,Unlicensed entities,2016-03-23,sfc
HKIC Systems Limited,,Unlicensed entities,,sfc
Parus Capital Limited,www.parus-capital.com,Unlicensed entities,2016-03-30,sfc
Parus Capital Hong Kong Limited,www.parus-capital.com,Unlicensed entities,2016-03-30,sfc
James Doyle,www.james-doyle.com,Unlicensed entities,2016-03-30,sfc
Alex & Hazel Limited,www.alexhazellimited-hk.com,Unlicensed entities,2016-03-30,sfc
www.jannchorpartners.com,www.jannchorpartners.com,Suspicious websites,2016-03-31,sfc
Renminbi Yuan Holdings China,www.ryhc.cn.com,Unlicensed entities,2016-03-31,sfc
Apex International Consulting Corporation,--,Unlicensed entities,2016-04-01,sfc
HKIC Group,http://www.hkicgroup.com,Unlicensed entities,2016-03-23,sfc
Bluefield Partners,http://bluefieldpartners.com,Unlicensed entities,2016-04-18,sfc
Berenberg Private Banking,,Unlicensed entities,,sfc
Hong Kong International Million Abundant Cultural Art Limited,new.hkwfatc.com,Unlicensed entities,2016-03-31,sfc
www.cvchy.net,www.cvchy.net,Suspicious websites,2016-04-29,sfc
Crown Star Investment Limited,www.csigrouphk.com,Unlicensed entities,2016-04-01,sfc
Ao Global Investment (Hong Kong) Co Ltd,www.699502.com,Unlicensed entities,2016-02-01,sfc
cvc.cvchy.com,cvc.cvchy.com,Suspicious websites,2016-04-29,sfc
Pan-Asia Trading Partners,www.panasiatradingpartners.com,Unlicensed entities,2016-04-18,sfc
Foland Hampton International Finance Co Ltd,www.flkl8.com,Unlicensed entities,2016-01-28,sfc
www.tzfqy.com,www.tzfqy.com,Suspicious websites,2016-04-29,sfc
Tommy and Bobby Limited,www.tommybobbylimited.com,Unlicensed entities,2016-04-21,sfc
FX Protrade,www.fxprotrade.com,Unlicensed entities,2016-05-05,sfc
5Markets Limited,www.5markets.com,Unlicensed entities,2016-05-05,sfc
Smallwood & Brown Ltd,www.smallwoodandbrown.com,Unlicensed entities,2016-05-05,sfc
US Capital Private Bank / US Capital Funding II/ U.S. Capital II Investments (Hong Kong) Ltd,(i) www.uscapitalprivatebank.com,Unlicensed entities,2016-05-06,sfc
Sunseeker Energy Limited,www.sunseekerenergy.com,Unlicensed entities,2016-05-09,sfc
Kent Holdings International Limited,www.kentholdingsinternational.com,Unlicensed entities,2016-05-09,sfc
Guidepost Investments Limited,www.guidepostinvestmetns.com,Unlicensed entities,2016-05-09,sfc
Shinjuku Commodities,www.shinjukucommodities.com,Unlicensed entities,2016-05-09,sfc
Clewis Financial,www.clewisfinancial.com,Unlicensed entities,2016-05-09,sfc
Mizuho International Financial Investment Company Limited,www.ruisuijinrong.com,Unlicensed entities,2016-05-05,sfc
China Emerald Consulting,www.chinaemeraldconsulting.cn.com,Unlicensed entities,2016-05-11,sfc
IPC Capital,www.ipccapital.com,Unlicensed entities,2016-05-26,sfc
Lloyd & Mitchell Partners,www.lloyd-mitchell.com,Unlicensed entities,2016-05-26,sfc
Sunrise Brokers Group,www.sunrisebrokersgroup.com,Suspicious websites,2016-05-26,sfc
深圳市中信達資產管理有限公司 (Chinese name only),-,Unlicensed entities,2016-05-26,sfc
Global Ark Group,www.globalarkgroup.com,Unlicensed entities,2016-05-30,sfc
Momentum FX / Momentum Markets / Momentum Management Limited,www.momentummarkets.com,Unlicensed entities,2016-06-02,sfc
Central Option / Central Provider Ltd,www.centraloption.com,Unlicensed entities,2016-06-15,sfc
Waldorf Harding Associates,www.waldorf-harding-associates.com,Unlicensed entities,2016-04-27,sfc
Camden Financial Services,www.camdenfinancialsvcs.com,Unlicensed entities,2016-06-15,sfc
Silver Ridge Resources,(i) http://www.silverridgeresources.com/,Unlicensed entities,2016-06-16,sfc
www.jmusics.com,www.jmusics.com,Suspicious websites,2016-06-20,sfc
www.nhjr999.com,www.nhjr999.com,Suspicious websites,2016-06-20,sfc
Emma & Ethan Limited,www.emmaethanlimited.com,Unlicensed entities,2016-05-06,sfc
Keiyo Asset Management,www.keiyoassetmanagement.com,Unlicensed entities,2016-06-20,sfc
"Sachs International, S.A.",www.sachsint.com,Unlicensed entities,2016-06-15,sfc
DAG Consultants Limited,www.dag-consultants.com,Unlicensed entities,2016-05-11,sfc
www.lianhepme.com,www.lianhepme.com,Suspicious websites,2016-06-27,sfc
Value Management Inc,www.valuemgmtinc.com,Unlicensed entities,2016-06-27,sfc
Apex Equities,www.apex-equities.com,Unlicensed entities,2016-06-20,sfc
Kline Capital Partners,www.klinecapitalpartners.com,Unlicensed entities,2016-06-30,sfc
Hillgrand Limited,www.hglfox.com,Unlicensed entities,2016-06-30,sfc
FXGlobal1 / EXPERT CAPITAL VENTURES LIMITED,fxglobal1.com,Unlicensed entities,,sfc
Bass Creek Advisors,www.basscreekadvisors.com,Unlicensed entities,2016-06-30,sfc
Jordan Group Financial,www.jordangroupfinancial.com,Unlicensed entities,2016-06-27,sfc
Daikyo Brokerage Limited,www.daikyo-brokerage-limited.com,Unlicensed entities,2016-07-04,sfc
Union Markets Limited,www.fxum.com,Unlicensed entities,2016-06-15,sfc
Regency Associates,www.regencyassociates.com,Unlicensed entities,2016-06-27,sfc
DaTong Global,(i) www.5620333.com,Unlicensed entities,2016-07-05,sfc
Arthur-Sera Limited,www.arthur-sera.com,Unlicensed entities,2016-07-06,sfc
DP Consulting Group,www.dpconsultinggroup.com,Unlicensed entities,2016-07-06,sfc
CVC Groups Private Capital / CVC Ltd,www.cvcgroups.com,Unlicensed entities,2016-07-06,sfc
Pullman Wealth Management,www.pullmanwealthmanagement.com,Unlicensed entities,2016-05-24,sfc
Fuji Credit Asset Management,www.fujicredit.com,Unlicensed entities,2016-07-08,sfc
www.dlmlimitedhk.com,www.dlmlimitedhk.com,Suspicious websites,2016-07-08,sfc
Asia Pacific Brokerage,i) www.asia-pacific-brokerage.com,Unlicensed entities,2016-07-15,sfc
Global Fiduciary Solutions Limited,--,Unlicensed entities,2016-07-15,sfc
Cunningham Mutual,www.cunningham-mutual.com,Unlicensed entities,2016-07-15,sfc
Kirkwood Global,www.kirkwoodglobal.com,Unlicensed entities,2016-07-19,sfc
Southwell & Stone Capital Partners,www.southwell-stone.com,Unlicensed entities,2016-07-19,sfc
Standard Management Investment Limited,--,Unlicensed entities,2016-07-19,sfc
IBC Capital Limited,www.ibcfx.com,Unlicensed entities,2016-07-19,sfc
Shi Fu Investment (Hongkong) Co Ltd / Shi Fu Jin Rong Capital Ltd,i) www.sf3688.com,Suspicious websites,2016-07-20,sfc
Titanium Wealth Management Inc.,www.titanium-wealth.com,Unlicensed entities,2016-07-20,sfc
Asia Alliance Ltd,www.asiaallianceltd.org,Unlicensed entities,2016-07-22,sfc
Pullman Wealth Management Consulting Limited,-,Unlicensed entities,2016-07-25,sfc
www.yzfyy.com,www.yzfyy.com,Suspicious websites,2016-07-25,sfc
vip.yzfyy.com,vip.yzfyy.com,Suspicious websites,2016-07-25,sfc
HCF Financial Service Limited,www.hcfservice.com,Unlicensed entities,2016-07-28,sfc
H-T-I Corporation/Hongkong Trading International Corp Ltd,www.h-t-i.hk,Unlicensed entities,2016-08-02,sfc
Harver Group,www.harvergroup.com,Unlicensed entities,2016-08-02,sfc
Westley Asia Limited,-,Unlicensed entities,2016-08-03,sfc
Jordan & Woods Limited,www.jordanwoodslimited.com,Unlicensed entities,2016-08-05,sfc
StrongOaks Risk Management Limited,www.sorml.com,Unlicensed entities,2016-07-08,sfc
PL Groups Limited,www.plgroups.com,Unlicensed entities,2016-08-03,sfc
Wheaton Capital,www.wheatoncapital.com,Unlicensed entities,2016-08-09,sfc
Lambert and Sons Incorporated,www.lambert-incorporated.com,Unlicensed entities,2016-07-15,sfc
Fox Capital Partners,www.foxcapitalpartners.com,Unlicensed entities,2016-08-10,sfc
www.wk99.com.cn,www.wk99.com.cn,Suspicious websites,2016-08-03,sfc
HK Equity Fund Limited,www.hkequityfund.com,Unlicensed entities,2016-08-10,sfc
Nippon Capital Asset Management / Nippon Holdings,www.nipponholdings.com,Unlicensed entities,2016-08-10,sfc
Osaka Financial,www.osakafinancial.com,Unlicensed entities,2016-08-10,sfc
Marvont Group,www.marvontgroup.com,Unlicensed entities,2016-08-02,sfc
Rhino Asia,-,Unlicensed entities,2016-08-03,sfc
Dodson Norwood,www.dodson-norwood.com,Unlicensed entities,2016-08-10,sfc
Ashwood Finance,www.ashwoodfinance.com,Unlicensed entities,2016-08-12,sfc
OTEX World Corporation,www.otexworld.com,Unlicensed entities,2016-08-23,sfc
Gold Bull Capital Limited,www.goldbullcapital.com,Unlicensed entities,2016-08-24,sfc
Offshore East Private Wealth Managers,www.offshoreeast.com,Unlicensed entities,2016-07-15,sfc
Matthew and Alexis Limited,www.matthewalexislimited.com,Unlicensed entities,2016-08-24,sfc
Ephraim Global,www.ephraimglobal.com,Unlicensed entities,2016-08-19,sfc
Rosan World Investment,www.hkrongxing.com,Unlicensed entities,2016-08-11,sfc
Ace Standard Holdings Limited,--,Unlicensed entities,2016-08-25,sfc
"ITSSO Co., Limited",--,Unlicensed entities,2016-08-25,sfc
Complastem Trading Limited,--,Unlicensed entities,2016-08-25,sfc
Ryan & Roger Holdings,www.ryanrogerholdings.com,Unlicensed entities,2016-08-25,sfc
Lambert & Sons Incorporated,www.lambert-incorporated.com,Unlicensed entities,2016-08-26,sfc
Ventures GP,www.venturesgp.com,Unlicensed entities,2016-08-10,sfc
UOBBF Department of Certification,N/A,Unlicensed entities,2016-08-26,sfc
Norbert Mach,www.norbertmach.com,Unlicensed entities,2016-08-26,sfc
Up & Down Marketing Limited,www.onetwotrade.com,Unlicensed entities,2016-08-26,sfc
www.sfzx168.com,www.sfzx168.com,Suspicious websites,2016-08-29,sfc
IEA Holdings Ltd,www.ieaholdings.com,Unlicensed entities,2016-08-30,sfc
TCA Financial,www.tcafinancial.com,Unlicensed entities,2016-08-30,sfc
Philippe Torres,www.philippetorres.com,Unlicensed entities,2016-09-06,sfc
PCG Resources,---,Unlicensed entities,2016-09-07,sfc
Xtrade,www.xtrade.com,Unlicensed entities,2016-09-08,sfc
Amberfield Group,--,Unlicensed entities,2016-08-26,sfc
Strauss Asset Management,www.straussassetmanagement.com,Unlicensed entities,2016-09-08,sfc
Tillman Hall Capital,www.tillmanhallcapital.com,Unlicensed entities,2016-09-08,sfc
TradingBanks,www.tradingbanks.com,Unlicensed entities,2016-09-12,sfc
"Shandong East Asia Mining Group Co., Ltd",www.shandongeastasiamining.cn.com,Unlicensed entities,2016-08-30,sfc
Meridian Equity Group,www.meridianequitygroup.com,Unlicensed entities,2016-09-12,sfc
Kelly & Gomez Holdings,www.kellygomezholdings.com,Unlicensed entities,2016-08-10,sfc
Gravitas Enterprises Limited,www.gravitas-fd.com,Unlicensed entities,2016-09-22,sfc
North Asia Digital Financial Investment Management Co Ltd,www.byszjr.com,Unlicensed entities,2016-09-08,sfc
North Dakota Developments LLC,www.northdakotadevelopments.com,Unlicensed entities,2016-09-22,sfc
Russellville Limited,www.russellville-hk.com,Unlicensed entities,2016-09-27,sfc
The Asian Pacific Commodity Exchange,www.apcomex.org,Unlicensed entities,2016-09-27,sfc
www.wmgltd.com / www.wmgfund.com,www.wmgltd.com / www.wmgfund.com,Suspicious websites,2016-09-01,sfc
Park Shore Investments Limited,www.192qq.com,Unlicensed entities,2016-09-29,sfc
Huang International / Huang Investments Limited,www.huanginternational.com,Unlicensed entities,2016-09-20,sfc
Top Binary Signals,www.top-binary-signals.com,Unlicensed entities,2016-09-30,sfc
Eclipse Finance,www.eclipse-finance.com,Unlicensed entities,2016-09-30,sfc
Lead Capital Partners,www.leadcapitalpartners.com,Unlicensed entities,2016-09-27,sfc
Pacific Alliances,www.thepacificalliances.com,Unlicensed entities,2016-10-20,sfc
Red Shield Financial,www.redshieldfinancial.com,Unlicensed entities,2016-10-24,sfc
Phmarkets Financial Limited,www.phmarkets.com,Suspicious websites,2016-10-26,sfc
China Merchants International Corporation,www.chinamint.cn.com,Unlicensed entities,2016-08-31,sfc
Cressida Limited,www.cressidaltd.com,Unlicensed entities,2016-10-28,sfc
Dukes Copy Limited,www.dukes-copy.com,Unlicensed entities,2016-10-20,sfc
Intergrated Hui Tong Trading Co Ltd / Intergrated Hui Tong Co Ltd,www.hkzjjr.com / www.hkzjgs.com,Unlicensed entities,2016-11-01,sfc
CW Associates,www.cwassociates.com,Unlicensed entities,2016-10-06,sfc
Huaxin Financial Holdings (Hong Kong) Limited,www.hxjrzj.com,Unlicensed entities,2016-11-03,sfc
Dashan International,www.dashaninternational.com,Unlicensed entities,2016-11-04,sfc
China International Art Property Exchange,www.chinaarttc.cn,Unlicensed entities,2016-10-24,sfc
IFIG Asia,www.ifighk-asia.com,Suspicious websites,2016-11-04,sfc
Tain Capital,www.taincapital.com,Unlicensed entities,2016-11-04,sfc
長江創投基金—興盛1號 (Chinese name only),,,,sfc
HC Capital Trust,www.hccapitaltrust.com,Unlicensed entities,2016-11-10,sfc
Kaplan Asset Management,www.kaplanassetmanagement.com,Unlicensed entities,2016-11-11,sfc
Cathedral Core Service Limited Partnership,(i) www.cathedralbank.com,Unlicensed entities,2016-11-14,sfc
AMC International (HK) Limited,www.amcint-hk.com,Unlicensed entities,2016-11-17,sfc
First Venture Capital Group,www.firstvcgroup.com,Unlicensed entities,2016-11-18,sfc
Private Venture Capital Group,www.privatecvgroup.com,Unlicensed entities,2016-11-18,sfc
Resona Corporate Partners,www.resonapartners.com,Unlicensed entities,2016-12-05,sfc
Mitsui Credit Global,www.mitsuicredit.com,Unlicensed entities,2016-12-05,sfc
Peterson Group,www.thepetersongroup.com,Unlicensed entities,2016-11-11,sfc
Horizon Holdings Ltd,www.horizonholdingsltd.com,Unlicensed entities,2016-11-04,sfc
Kaufman Capital Management,www.kaufmancapitalmanagement.com,Unlicensed entities,2016-12-05,sfc
Kings View Capital Advisors,www.kingsviewcapitaladvisors.com,Unlicensed entities,2016-12-05,sfc
Global Future City Holding Inc.,www.gf.city / www.gfla2016.com,Unlicensed entities,2016-12-06,sfc
Franklin Transfer Services,www.franklinfinancial.net,,2016-12-05,sfc
HC Capital Asia,www.hccapitalasia.com,Unlicensed entities,2016-12-07,sfc
Lexus Group,www.lexusgroup.com,Unlicensed entities,2016-12-07,sfc
Somerset Capital Limited,www.somersetcapitallimited.com,Unlicensed entities,2016-12-05,sfc
Thornwood Financial,www.thornwoodfinancial.com,Unlicensed entities,2016-12-07,sfc
Global Future City Holdings (Hong Kong) Company Limited,www.gf.city / www.gfla2016.com,Unlicensed entities,2016-12-06,sfc
Softbank CIBC International,www.sbicorporate.com,Unlicensed entities,2016-12-07,sfc
Tharapatong Limited,www.tharapatonglimited.com,Unlicensed entities,2016-12-07,sfc
Langford Nachman,www.langford-nachman.com,Unlicensed entities,2016-12-12,sfc
V.T. Robinsons,www.vtrobinsons.com,Unlicensed entities,2016-12-12,sfc
Featherstone Pte Limited,www.safemarkhk.com,Unlicensed entities,2016-12-12,sfc
www.mbacapltd.com,www.mbacapltd.com,Suspicious websites,2016-12-12,sfc
AWDH Trading Limited,www.safemarkhk.com,Unlicensed entities,2016-12-12,sfc
CTI Limited,www.safemarkhk.com,Unlicensed entities,2016-12-12,sfc
ABS Group Limited,www.fxabs.com,Unlicensed entities,2016-12-12,sfc
United Rich Capital Investment Limited,www.goldurc.com,Unlicensed entities,2016-12-13,sfc
Florin Investment Limited,(i) www.floringlobal.com,Unlicensed entities,2016-12-14,sfc
Aegis Corporation Ltd,www.acltd-hk.com,Unlicensed entities,2016-12-21,sfc
Orient Int’l Copyright Trading Holdings Limited / Oriental International Culture and Art Exchange Platform,www.zhonglianwenhua.com,Unlicensed entities,2016-12-21,sfc
William Paulstern,www.williampaulstern.com,Unlicensed entities,2016-12-23,sfc
Concord Financial Partners,www.concordfinancialpartners.com,Unlicensed entities,2016-09-27,sfc
Nikko-Desjardins Asset Management,www.nikkoholdings.com,Unlicensed entities,2016-12-23,sfc
Lawton & Yeung,www.lawtonandyeung.com,Unlicensed entities,2016-12-23,sfc
Soleil Chartered Investments,N/A,Unlicensed entities,2016-12-23,sfc
www.yun199.com,www.yun199.com,Suspicious websites,2016-12-23,sfc
Braemar Capital of Hong Kong,www.braemarcapital.com,Unlicensed entities,2016-12-23,sfc
DFRF Enterprises LLC,www.dfrftv.com,Unlicensed entities,2016-12-23,sfc
"DFRF Enterprises, LLC",www.dfrftv.com,Unlicensed entities,2016-12-28,sfc
Sealand Trading (Hong Kong) Limited,Nil,,2016-12-28,sfc
Peak Capital Management,(i) www.peakcapitalmanagementltd.com,Unlicensed entities,2017-01-03,sfc
Drukenmiller Investment Services,www.drukenmiller-investment.com,Unlicensed entities,2017-01-05,sfc
Option500,www.option500.com,Unlicensed entities,2016-10-20,sfc
卓益財富集團 (Chinese name only),www.zygold.hk,Unlicensed entities,2017-01-09,sfc
Fujitsu Global,www.fujitsu-global.com,Unlicensed entities,2017-01-09,sfc
Asian Mercantile Exchange,www.asianmex.org,Unlicensed entities,2017-01-09,sfc
iCoption,www.icoption.com,Unlicensed entities,2017-01-09,sfc
Liberty Holdings Ltd,www.libertyholdings.net,Unlicensed entities,2017-01-10,sfc
Finance & Investment Association (Asia) / Finance & Investment Association Hong Kong,www.fiahk.org,Unlicensed entities,2017-01-12,sfc
Kimzeen Forex Management Ltd,www.jz-bo.com,Unlicensed entities,2017-01-19,sfc
HK Financial Fiduciary Services,- -,Unlicensed entities,2017-01-20,sfc
"Holland Financial Fiduciary Services, Netherlands",- -,Unlicensed entities,2017-01-20,sfc
Pullman International Limited,www.pwminternational.com,Unlicensed entities,2017-01-20,sfc
Lamprell bank,www.lamprellplc.com,Unlicensed entities,2017-02-03,sfc
www.xsvg.com,www.xsvg.com,Suspicious websites,2016-12-14,sfc
www.fxjupiter.com,www.fxjupiter.com,Suspicious websites,2017-02-03,sfc
King’s Vision Group Limited,www.kingvisiongroup.com,Unlicensed entities,2017-02-03,sfc
Seres Bio,http://seresbio.com,Unlicensed entities,2017-02-10,sfc
www.mhi-shipping.com,www.mhi-shipping.com,Suspicious websites,2017-02-14,sfc
Ashton Cole Global / Ashton Cole Global Investments / AC Global Investments,www.acglobalinc.com,Unlicensed entities,2017-02-16,sfc
www.yuantacn.com,www.yuantacn.com,Suspicious websites,2017-02-03,sfc
DA Corporation Partners,www.dacorporation.com,Unlicensed entities,2017-02-20,sfc
Wising Century Solartech Limited,www.wcsolartech.com,Unlicensed entities,2017-02-20,sfc
FengSheng Stock Invest / FengSheng Capital Limited / Hongkong Fengsheng Stock Investment Company Ltd,www.fs8808.com,Unlicensed entities,2017-01-12,sfc
Castle Holdings Limited,www.castleholdingsltd.com,Unlicensed entities,2017-02-07,sfc
Paragon Advisors,www.paragonadvisors.com,Unlicensed entities,2017-02-20,sfc
The Alden Group,www.thealdengroup.com,Unlicensed entities,2017-02-20,sfc
Rubin Dunn,www.rubin-dunn.com,Unlicensed entities,2017-02-20,sfc
Ono Ventures,www.onovent.com,Unlicensed entities,2017-02-21,sfc
Forex Paradise Limited,www.forexparadise.biz,Unlicensed entities,2017-03-02,sfc
Floyd & Gordon Holdings / Floyd & Gordon Holdings Asia Limited MCIAL,www.floydgordonholdings.com,Unlicensed entities,2017-03-02,sfc
LFG (Asia) Limited,www.lfg-asia.com,Unlicensed entities,2017-03-06,sfc
Best Leader Global Market NZ Limited,www.bl-gm.com,Unlicensed entities,2017-03-06,sfc
Carlson-Schmidt Securities,www.carlson-schmidt-securities.com,Unlicensed entities,2017-01-12,sfc
Apuro Holdings Limited,--,Unlicensed entities,2017-03-06,sfc
Safe Mark Limited,www.safemarkhk.com,Unlicensed entities,2016-12-12,sfc
Walter Advisory Group,www.walteradvisorygroup.com,Unlicensed entities,2017-03-07,sfc
Thompson Lloyd Baker Capital Specialists,www.tlbcs.com,Unlicensed entities,2017-03-02,sfc
www.pacificeagleam.com,www.pacificeagleam.com,Suspicious websites,2017-03-09,sfc
Capital Trust Management,www.ct-mgmt.com,Unlicensed entities,2017-03-10,sfc
Kanagawa Associates,www.kanagawa-associates.com,Unlicensed entities,2017-03-16,sfc
Mong Company Ltd,--,Unlicensed entities,2017-02-17,sfc
www.fxoilhk.com,www.fxoilhk.com,Suspicious websites,2017-03-16,sfc
Apuro Forex,www.apuroforex.com,Unlicensed entities,2017-03-06,sfc
Southbourne Group,www.southbournegroup.com,Unlicensed entities,2017-03-16,sfc
Kinetix Exploration Limited,www.kinetixexploration.com,Unlicensed entities,2017-02-20,sfc
www.oncediy.com,www.oncediy.com,Suspicious websites,2017-03-17,sfc
Century Holdings Ltd,www.centuryholdingsltd.com,Unlicensed entities,2017-03-20,sfc
Empire Asset Investments Ltd,www.empireassetinvestments.com,Unlicensed entities,2017-03-20,sfc
Aichi BMO International,www.ai-international.com,Unlicensed entities,2017-03-10,sfc
Brandywine (HK) Global Investment Management Limited / Brandywine HK Financial Management Company Limited,www.brandywinegl0bal.com,Suspicious websites,2017-03-17,sfc
AAFX Trading Capital / AAFX Trading Company Ltd,www.aafxtrading.com,Unlicensed entities,2017-03-29,sfc
Cressman Financial Group,www.cressmanfinancialgroup.com,Unlicensed entities,2017-03-29,sfc
www.anxinv.com,www.anxinv.com,Suspicious websites,2017-03-29,sfc
Nixdorf-AX Ventures Limited,www.nixdax.com,Unlicensed entities,2017-04-07,sfc
Merc Management Limited,-,Unlicensed entities,2017-04-07,sfc
North West Capital Funds HK Ltd (also known as Northwest Capital Investments Limited),www.northwestcapitalfunds.com,Suspicious websites,2017-04-10,sfc
Northwest Capital Finance,www.northwestcapitalfinance.com,Suspicious websites,2017-04-10,sfc
The Huxford Group,www.huxfordgroup.com,Unlicensed entities,2017-03-28,sfc
Entrada Capital,www.entradacapital.com,Unlicensed entities,2017-04-13,sfc
Global-FX / Global Partner HK Limited,www.gl-forex.com,Unlicensed entities,2017-03-10,sfc
Jacob L. Callan,www.jlcallan.com,Unlicensed entities,2017-04-13,sfc
CITIC Tokyo International,www.citicinternational.com,Unlicensed entities,2017-04-13,sfc
Suisse Option / Primary Stream Limited,www.suisseoption.com,Unlicensed entities,2017-04-19,sfc
Asia Dragon Capital Holdings,www.asiadragonch.cn.com,Unlicensed entities,2017-04-26,sfc
Metis Etrade LLC,www.metisetrade.com,Unlicensed entities,2017-04-27,sfc
Marshall & Grant Limited,www.marshallgrantlimited.com,Unlicensed entities,2017-05-02,sfc
